
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_M%d.dat', M) binary matrix"

# Contour 0, label:  2.5e+03
-0.660346 0.803512 2500 
-0.658361 0.80544 2500 
-0.649735 0.81388 2500 
-0.647993 0.815571 2500 
-0.639121 0.824247 2500 
-0.637625 0.825699 2500 
-0.628504 0.834615 2500 
-0.627258 0.835824 2500 
-0.617883 0.844983 2500 
-0.61689 0.845946 2500 
-0.607259 0.855351 2500 
-0.606522 0.856065 2500 
-0.59663 0.865719 2500 
-0.596154 0.86618 2500 
-0.585998 0.876087 2500 
-0.585786 0.876292 2500 
-0.575418 0.886332 2500 
-0.57529 0.886455 2500 
-0.56505 0.896109 2500 
-0.564304 0.896823 2500 
-0.554682 0.905885 2500 
-0.553317 0.907191 2500 
-0.544314 0.915661 2500 
-0.542328 0.917559 2500 
-0.533947 0.925436 2500 
-0.531339 0.927926 2500 
-0.523579 0.931202 2500 
-0.516337 0.938294 2500 
-0.513211 0.941324 2500 
-0.505713 0.948662 2500 
-0.502843 0.951442 2500 
-0.495086 0.95903 2500 
-0.492475 0.961556 2500 
-0.484455 0.969398 2500 
-0.482107 0.971668 2500 
-0.473819 0.979766 2500 
-0.471739 0.981775 2500 
-0.463179 0.990134 2500 
-0.461371 0.990198 2500 
-0.451059 1.0005 2500 
-0.451003 1.00056 2500 

# Contour 6, label: 
-1.49816 0.0164208 2500 
-1.48809 0.0259197 2500 
-1.48779 0.026194 2500 
-1.47742 0.0359684 2500 
-1.47709 0.0362876 2500 
-1.46706 0.0457436 2500 
-1.4661 0.0466555 2500 
-1.45669 0.0555186 2500 
-1.4551 0.0570234 2500 
-1.44632 0.0652934 2500 
-1.44411 0.0673913 2500 
-1.43595 0.0750683 2500 
-1.43311 0.0777592 2500 
-1.42559 0.0848431 2500 
-1.42212 0.0881271 2500 
-1.41522 0.0946175 2500 
-1.41112 0.098495 2500 
-1.40485 0.104392 2500 
-1.40012 0.108863 2500 
-1.39448 0.114166 2500 
-1.38913 0.119231 2500 
-1.38411 0.123941 2500 
-1.37813 0.129599 2500 
-1.37375 0.133715 2500 
-1.36713 0.139967 2500 
-1.36338 0.143489 2500 
-1.35613 0.150334 2500 
-1.35301 0.153263 2500 
-1.34513 0.160702 2500 
-1.34264 0.163037 2500 
-1.33413 0.17107 2500 
-1.33227 0.172811 2500 
-1.32313 0.181438 2500 
-1.32191 0.182584 2500 
-1.31213 0.191806 2500 
-1.31154 0.192358 2500 
-1.30117 0.202131 2500 
-1.30113 0.202174 2500 
-1.2908 0.211906 2500 
-1.29013 0.212542 2500 
-1.28043 0.221682 2500 
-1.27914 0.22291 2500 
-1.27007 0.231457 2500 
-1.26815 0.233278 2500 
-1.2597 0.241232 2500 
-1.25715 0.243645 2500 
-1.24933 0.251006 2500 
-1.24616 0.254013 2500 
-1.23896 0.260781 2500 
-1.23516 0.264381 2500 
-1.2286 0.270556 2500 
-1.22417 0.274749 2500 
-1.21823 0.28033 2500 
-1.21317 0.285117 2500 
-1.20786 0.290105 2500 
-1.20217 0.295485 2500 
-1.19749 0.299879 2500 
-1.19117 0.305853 2500 
-1.18712 0.309653 2500 
-1.18018 0.316221 2500 
-1.17676 0.319427 2500 
-1.16918 0.326589 2500 
-1.16639 0.329201 2500 
-1.15817 0.336957 2500 
-1.15602 0.338974 2500 
-1.14717 0.347324 2500 
-1.14565 0.348748 2500 
-1.13617 0.357692 2500 
-1.13528 0.357965 2500 
-1.125 0.36806 2500 
-1.12492 0.368138 2500 
-1.11455 0.378069 2500 
-1.11417 0.378428 2500 
-1.10418 0.387844 2500 
-1.10318 0.388796 2500 
-1.09381 0.39762 2500 
-1.09219 0.399164 2500 
-1.08344 0.407395 2500 
-1.08119 0.409532 2500 
-1.07308 0.41717 2500 
-1.0702 0.4199 2500 
-1.06271 0.426945 2500 
-1.05921 0.430268 2500 
-1.05234 0.436719 2500 
-1.04821 0.440635 2500 
-1.04197 0.446494 2500 
-1.03721 0.451003 2500 
-1.03161 0.456268 2500 
-1.02622 0.461371 2500 
